Date,Open,High,Low,Close,Adj Close,Volume
6/28/2019,46185.82031,47778.43359,45389.51563,46783.05078,46783.05078,1351949
7/1/2019,47114.84766,47712.07813,47048.48828,47313.92188,47313.92188,852393
7/2/2019,47446.64063,47446.64063,46650.33203,46783.05078,46783.05078,682680
7/3/2019,46783.05078,47114.84766,46185.82031,46185.82031,46185.82031,1230760
7/4/2019,46451.25781,48110.23047,46252.17969,48110.23047,48110.23047,1695339
7/5/2019,48110.23047,48176.58984,47778.43359,48176.58984,48176.58984,698654
7/8/2019,47778.43359,47977.51172,47114.84766,47313.92188,47313.92188,1487832
7/9/2019,47446.64063,47712.07813,46849.41016,47712.07813,47712.07813,1115975
7/10/2019,48110.23047,48242.94922,47712.07813,48110.23047,48110.23047,1109360
7/11/2019,48176.58984,49503.76953,48176.58984,49105.61328,49105.61328,2240812
7/12/2019,49105.61328,49437.41016,48840.17969,48906.53906,48906.53906,1474118
7/15/2019,48906.53906,49769.20313,48906.53906,49769.20313,49769.20313,1835366
7/16/2019,50101,51759.97266,50034.64063,51229.10156,51229.10156,3039831
7/17/2019,50764.58594,51162.74219,50300.07422,50565.51172,50565.51172,1209105
7/18/2019,50366.43359,51229.10156,50167.35547,50698.23047,50698.23047,1735530
7/19/2019,50698.23047,52954.43359,50698.23047,52423.5625,52423.5625,2062660
7/22/2019,52423.5625,52755.35547,52224.48438,52423.5625,52423.5625,1513766
7/23/2019,52357.20313,52622.63672,52091.76563,52357.20313,52357.20313,994047
7/24/2019,52755.35547,52755.35547,50764.58594,51030.02344,51030.02344,2588377
7/25/2019,51030.02344,51627.25391,50897.30469,51560.89453,51560.89453,1252822
7/26/2019,51560.89453,52888.07422,51428.17578,52091.76563,52091.76563,1419943
7/29/2019,52091.76563,53750.73828,51959.04688,53750.73828,53750.73828,1487109
7/30/2019,54414.32813,54746.125,53485.30469,53485.30469,53485.30469,2461597
7/31/2019,53087.15234,53418.94531,52821.71484,53219.86719,53219.86719,772796
8/1/2019,53219.86719,53418.94531,52888.07422,53418.94531,53418.94531,812022
8/2/2019,52888.07422,53418.94531,52489.92188,52489.92188,52489.92188,1062403
8/5/2019,52556.27734,52888.07422,51162.74219,51361.81641,51361.81641,1292319
8/6/2019,50698.23047,51030.02344,50300.07422,50631.87109,50631.87109,1812144
8/7/2019,50631.87109,52025.40625,50631.87109,52025.40625,52025.40625,893368
8/8/2019,52091.76563,52954.43359,51826.33203,52091.76563,52091.76563,1224446
8/9/2019,52224.48438,52688.99609,52025.40625,52091.76563,52091.76563,1086439
8/12/2019,52091.76563,52290.84375,51229.10156,51560.89453,51560.89453,883076
8/13/2019,51229.10156,51428.17578,50366.43359,50631.87109,50631.87109,1370274
8/14/2019,51759.97266,51759.97266,50631.87109,50631.87109,50631.87109,534592
8/15/2019,49503.76953,52423.5625,49503.76953,52423.5625,52423.5625,812746
8/16/2019,51627.25391,52158.125,51627.25391,51693.61328,51693.61328,951159
8/19/2019,51693.61328,52091.76563,50897.30469,50963.66406,50963.66406,1043928
8/20/2019,51627.25391,51627.25391,50897.30469,51030.02344,51030.02344,683795
8/21/2019,51030.02344,53286.22656,50897.30469,53087.15234,53087.15234,3025544
8/22/2019,53219.86719,53352.58594,52821.71484,53087.15234,53087.15234,1178574
8/23/2019,53087.15234,53219.86719,52556.27734,52556.27734,52556.27734,954668
8/26/2019,51892.69141,52158.125,51428.17578,51627.25391,51627.25391,1013005
8/27/2019,51892.69141,52290.84375,50432.79297,50764.58594,50764.58594,1912989
8/28/2019,50963.66406,51295.46094,50963.66406,51096.38281,51096.38281,1369536
8/29/2019,51030.02344,51361.81641,50764.58594,50963.66406,50963.66406,636296
8/30/2019,51096.38281,51560.89453,51096.38281,51560.89453,51560.89453,422142
9/3/2019,51627.25391,51693.61328,50897.30469,51627.25391,51627.25391,1003376
9/4/2019,51428.17578,51428.17578,51030.02344,51295.46094,51295.46094,795325
9/5/2019,51229.10156,52290.84375,51229.10156,51494.53516,51494.53516,652360
9/6/2019,51759.97266,51759.97266,51096.38281,51295.46094,51295.46094,562079
9/9/2019,51295.46094,51361.81641,51096.38281,51229.10156,51229.10156,356304
9/10/2019,51229.10156,52556.27734,51162.74219,51560.89453,51560.89453,1018626
9/11/2019,51295.46094,52091.76563,51295.46094,51892.69141,51892.69141,341249
9/12/2019,52091.76563,52755.35547,52091.76563,52755.35547,52755.35547,1537456
9/13/2019,52954.43359,54414.32813,52954.43359,54347.96875,54347.96875,2160643
9/16/2019,54347.96875,54878.84375,53618.02344,53750.73828,53750.73828,1178906
9/17/2019,53551.66406,53949.81641,53418.94531,53817.09766,53817.09766,1350669
9/18/2019,53817.09766,54746.125,53418.94531,53485.30469,53485.30469,1521753
9/19/2019,53750.73828,54215.25391,53418.94531,54082.53516,54082.53516,794511
9/20/2019,54082.53516,54945.19922,53750.73828,53750.73828,53750.73828,4342594
9/23/2019,54148.89453,54347.96875,52423.5625,52423.5625,52423.5625,1788906
9/24/2019,52755.35547,53618.02344,52357.20313,53485.30469,53485.30469,1192709
9/25/2019,53087.15234,53684.38281,52688.99609,53551.66406,53551.66406,1180457
9/26/2019,53551.66406,53949.81641,53286.22656,53750.73828,53750.73828,1815565
9/27/2019,53949.81641,55144.27734,53618.02344,55011.55859,55011.55859,2092393
9/30/2019,55011.55859,55276.99609,54347.96875,54480.6875,54480.6875,1274537
10/1/2019,54480.6875,55476.07422,54281.61328,55343.35547,55343.35547,1929053
10/2/2019,55343.35547,55542.42969,54215.25391,54414.32813,54414.32813,1845493
10/3/2019,54281.61328,54414.32813,53485.30469,54414.32813,54414.32813,2904823
10/4/2019,54414.32813,55409.71484,54281.61328,55077.91797,55077.91797,1774681
10/7/2019,55741.50781,56073.30469,54945.19922,54945.19922,54945.19922,1816468
10/8/2019,54945.19922,56604.17578,54945.19922,56471.45703,56471.45703,2203078
10/9/2019,56471.45703,56869.60938,56073.30469,56073.30469,56073.30469,1296223
10/10/2019,56338.73828,56537.81641,56073.30469,56139.66016,56139.66016,1275924
10/11/2019,56073.30469,56670.53125,56006.94531,56604.17578,56604.17578,1145708
10/14/2019,56736.89063,57068.6875,56405.09766,56405.09766,56405.09766,935517
10/15/2019,56405.09766,56670.53125,56206.01953,56537.81641,56537.81641,1075061
10/16/2019,57201.40625,57267.76172,56869.60938,57135.04688,57135.04688,1611930
10/17/2019,57334.12109,57334.12109,56272.37891,56537.81641,56537.81641,1585151
10/18/2019,56736.89063,56935.96875,56272.37891,56405.09766,56405.09766,798972
10/21/2019,56338.73828,56338.73828,55476.07422,55874.22656,55874.22656,980861
