Date,Open,High,Low,Close,Adj Close,Volume
8/27/2019,27022.91602,27093.47266,26458.46875,26458.46875,26458.46875,1659378
8/28/2019,26458.46875,26811.24805,26387.91211,26529.02539,26529.02539,1321901
8/29/2019,26529.02539,26740.69336,26352.63477,26740.69336,26740.69336,1885256
8/30/2019,26952.35938,27375.69531,26775.9707,27340.41797,27340.41797,3099639
9/3/2019,27375.69531,27587.36328,27269.86133,27305.14063,27305.14063,1176967
9/4/2019,27305.14063,27375.69531,26811.24805,27234.58398,27234.58398,1306141
9/5/2019,27375.69531,27552.08594,27164.02734,27164.02734,27164.02734,1331057
9/6/2019,27164.02734,27164.02734,26493.74609,26811.24805,26811.24805,2165657
9/9/2019,26811.24805,26881.80469,26634.85938,26881.80469,26881.80469,1136445
9/10/2019,26775.9707,27234.58398,26670.13672,27022.91602,27022.91602,1422884
9/11/2019,26811.24805,27093.47266,26775.9707,26952.35938,26952.35938,735969
9/12/2019,27058.19336,27340.41797,26811.24805,27269.86133,27269.86133,2499322
9/13/2019,27410.97461,28116.5332,27234.58398,28116.5332,28116.5332,3264162
9/16/2019,28116.5332,28786.81445,28081.25586,28222.36719,28222.36719,1772791
9/17/2019,28010.69922,28927.92578,27799.03125,28927.92578,28927.92578,2220719
9/18/2019,28857.36914,29104.31641,28610.42383,29033.75977,29033.75977,2310663
9/19/2019,29069.03711,29104.31641,28751.53711,28786.81445,28786.81445,1459111
9/20/2019,28786.81445,28998.48242,28081.25586,28222.36719,28222.36719,3124330
9/23/2019,28010.69922,28575.14648,27940.14258,27975.42188,27975.42188,1544236
9/24/2019,28081.25586,28222.36719,27834.30859,27834.30859,27834.30859,1207806
9/25/2019,27693.19727,28151.81055,27446.25195,28151.81055,28151.81055,2048133
9/26/2019,28151.81055,28716.25781,28151.81055,28328.20117,28328.20117,1259015
9/27/2019,28434.03516,28504.58984,28257.64453,28398.75586,28398.75586,1286766
9/30/2019,28363.47852,28680.98047,27799.03125,27799.03125,27799.03125,2025556
10/1/2019,27799.03125,28222.36719,27799.03125,28222.36719,28222.36719,1222320
10/2/2019,28222.36719,28786.81445,28187.08789,28363.47852,28363.47852,2133328
